"MARPI Real Personal Income by MSA 1/"
"Real per capita personal income (Chained 2012 dollars) 2/" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"24300","Grand Junction, CO (Metropolitan Statistical Area)",42742
"24340","Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",49159
"24420","Grants Pass, OR (Metropolitan Statistical Area)",40193
"24500","Great Falls, MT (Metropolitan Statistical Area)",46201
"24540","Greeley, CO (Metropolitan Statistical Area)",42319
"24580","Green Bay, WI (Metropolitan Statistical Area)",51923
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",44183
"24780","Greenville, NC (Metropolitan Statistical Area)",43093
"24860","Greenville-Anderson, SC (Metropolitan Statistical Area)",45079
"25060","Gulfport-Biloxi, MS (Metropolitan Statistical Area)",38230
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",39931
"25220","Hammond, LA (Metropolitan Statistical Area)",41322
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",34722
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",48985
"25500","Harrisonburg, VA (Metropolitan Statistical Area)",41233
"25540","Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",57353
"25620","Hattiesburg, MS (Metropolitan Statistical Area)",43126
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",41751
"25940","Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",50464
"25980","Hinesville, GA (Metropolitan Statistical Area)",34403
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)",39994
"26300","Hot Springs, AR (Metropolitan Statistical Area)",42679
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",43803
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",49957
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",42077
"26620","Huntsville, AL (Metropolitan Statistical Area)",50131
"26820","Idaho Falls, ID (Metropolitan Statistical Area)",45258
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",53937
"26980","Iowa City, IA (Metropolitan Statistical Area)",51174
"27060","Ithaca, NY (Metropolitan Statistical Area)",38599
"27100","Jackson, MI (Metropolitan Statistical Area)",40755
"27140","Jackson, MS (Metropolitan Statistical Area)",44256
"27180","Jackson, TN (Metropolitan Statistical Area)",44584
"27260","Jacksonville, FL (Metropolitan Statistical Area)",47638
"27340","Jacksonville, NC (Metropolitan Statistical Area)",46053
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",44429
"27620","Jefferson City, MO (Metropolitan Statistical Area)",49493
"27740","Johnson City, TN (Metropolitan Statistical Area)",42085
"27780","Johnstown, PA (Metropolitan Statistical Area)",44598
"27860","Jonesboro, AR (Metropolitan Statistical Area)",40750
"27900","Joplin, MO (Metropolitan Statistical Area)",42595
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",41911
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)",49019
"28100","Kankakee, IL (Metropolitan Statistical Area)",39602
"28140","Kansas City, MO-KS (Metropolitan Statistical Area)",52765
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",42371
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)",42491
"28700","Kingsport-Bristol, TN-VA (Metropolitan Statistical Area)",42703
"28740","Kingston, NY (Metropolitan Statistical Area)",44415
"28940","Knoxville, TN (Metropolitan Statistical Area)",46807
