Metro Name,Income
"St. Cloud, MN (Metropolitan Statistical Area)",46648
"St. George, UT (Metropolitan Statistical Area)",36791
"St. Joseph, MO-KS (Metropolitan Statistical Area)",41947
"St. Louis, MO-IL (Metropolitan Statistical Area)",55028
"Salem, OR (Metropolitan Statistical Area)",40275
"Salinas, CA (Metropolitan Statistical Area)",47257
"Salisbury, MD-DE (Metropolitan Statistical Area)",50148
"Salt Lake City, UT (Metropolitan Statistical Area)",47003
"San Angelo, TX (Metropolitan Statistical Area)",44656
"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",45142
"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",47562
"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",68773
"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",71610
"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",49202
"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",48327
"Santa Fe, NM (Metropolitan Statistical Area)",53208
"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",51693
"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",46290
"Savannah, GA (Metropolitan Statistical Area)",45278
"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",45073
"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",59414
"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",74700
"Sebring-Avon Park, FL (Metropolitan Statistical Area)",37579
"Sheboygan, WI (Metropolitan Statistical Area)",53672
"Sherman-Denison, TX (Metropolitan Statistical Area)",42036
"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",46920
"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",41819
"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",51600
"Sioux Falls, SD (Metropolitan Statistical Area)",59404
"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",49332
"Spartanburg, SC (Metropolitan Statistical Area)",44892
"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",44082
"Springfield, IL (Metropolitan Statistical Area)",48676
"Springfield, MA (Metropolitan Statistical Area)",48902
"Springfield, MO (Metropolitan Statistical Area)",43991
